Date,Depth,Avg Ground Temp,Air Temp,Surface Temp,Soil Moisture
2011-08-01,-0.01,280.0649032258065,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.0,279.7366451612903,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.01,279.4782687147978,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.02,280.2855093512767,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.03,279.329898655914,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.034,278.6746894009216,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.04,278.5589170506913,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.05,278.0992524001536,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.07,278.5385427895211,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.08,278.3561836493187,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.09,279.0723666666667,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.1,277.0549769126094,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.104,277.3577241935484,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.11,277.3553115769496,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.12,277.1838467741935,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.13,276.583944338142,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.14,276.9665,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.15,277.3282611325385,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.16,277.224188569425,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.17,276.2786785024154,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.18,275.2175323924731,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.184,276.5036209677419,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.19,276.8924727014181,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.2,275.8063720480198,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.22,276.2499516129032,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.23,276.5388930199359,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.24,276.7830434782608,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.25,274.7940952380952,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.254,276.010375,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.26,275.6300994005878,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,0.27,275.6018454807543,281.8774282506764,273.4964724170173,0.6165806451612903
